Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites
b128,0,45.0,0
f932,0,45.0,0
g107,0,45.0,0
a457,0,45.0,0
c819,0,45.0,0
h246,0,45.0,0
p189,0,45.0,0
n923,0,45.0,0
q119,0,45.0,0
f993,0,45.0,0
z234,0,45.0,0
b559,0,45.0,0
y260,0,45.0,0
x930,0,45.0,0
o725,0,45.0,0
z969,0,45.0,0
v835,0,45.0,0
r604,0,45.0,0
n304,0,45.0,0
l700,0,45.0,0
x336,0,45.0,0
l725,0,45.0,0
m133,0,45.0,0
v295,0,45.0,0
a818,0,45.0,0
y601,0,45.0,0
t724,0,45.0,0
k382,0,45.0,0
w422,0,45.0,0
c326,0,45.0,0
c139,0,45.0,0
v339,0,45.0,0
a577,0,45.0,0
y163,0,45.0,0
k483,0,45.0,0
k804,0,45.0,0
o809,0,45.0,0
z581,0,45.0,0
a251,0,45.0,0
i386,0,45.0,0
c580,0,45.0,0
q132,0,45.0,0
u327,0,45.0,0
v603,0,45.0,0
f278,0,45.0,0
g497,0,45.0,0
d474,0,45.0,0
o973,0,45.0,0
c832,0,45.0,0
o331,0,45.0,0
m650,0,45.0,0
v289,0,45.0,0
m550,0,45.0,0
h428,0,45.0,0
r701,0,45.0,0
v199,0,45.0,0
x264,0,45.0,0
f234,0,45.0,0
c458,0,45.0,0
q610,0,45.0,0
j913,0,45.0,0
a411,0,45.0,0
a444,0,45.0,0
d251,0,45.0,0
j989,0,45.0,0
y449,0,45.0,0
k403,0,45.0,0
c758,0,45.0,0
x402,0,45.0,0
r811,0,45.0,0
a644,0,45.0,0
i177,0,45.0,0
g791,0,45.0,0
a520,0,45.0,0
u196,0,45.0,0
m546,0,45.0,0
w678,0,45.0,0
n364,0,45.0,0
s508,0,45.0,0
e662,0,45.0,0
z578,0,45.0,0
r921,0,45.0,0
a492,0,45.0,0
w540,0,45.0,0
v764,0,45.0,0
z795,0,45.0,0
e291,0,45.0,0
e584,0,45.0,0
e213,0,45.0,0
j755,0,45.0,0
s565,0,45.0,0
a366,0,45.0,0
p387,0,45.0,0
b879,0,45.0,0
i901,0,45.0,0
k862,0,45.0,0
g867,0,45.0,0
s619,0,45.0,0
w697,0,45.0,0
j984,0,45.0,0
c402,0,45.0,0
h333,0,45.0,0
k510,0,45.0,0
p981,0,45.0,0
t451,0,45.0,0
a963,0,45.0,0
m269,0,45.0,0
g989,0,45.0,0
z314,0,45.0,0
o848,0,45.0,0
v719,0,45.0,0
q597,0,45.0,0
c895,0,45.0,0
a203,0,45.0,0
f394,0,45.0,0
c264,0,45.0,0
n967,0,45.0,0
f545,0,45.0,0
k894,0,45.0,0
k754,0,45.0,0
g296,0,45.0,0
d164,0,45.0,0
w575,0,45.0,0
x613,0,45.0,0
q633,0,45.0,0
b313,0,45.0,0
f129,0,45.0,0
j365,0,45.0,0
p136,0,45.0,0
c559,0,45.0,0
a788,0,45.0,0
s337,0,45.0,0
q511,0,45.0,0
m331,0,45.0,0
o926,0,45.0,0
d133,0,45.0,0
n630,0,45.0,0
g989,0,45.0,0
a401,0,45.0,0
w350,0,45.0,0
c302,0,45.0,0
a897,0,45.0,0
j235,0,45.0,0
q787,0,45.0,0
a262,0,45.0,0
r850,0,45.0,0
i669,0,45.0,0
n763,0,45.0,0
s152,0,45.0,0
c766,0,45.0,0
e227,0,45.0,0
c282,0,45.0,0
v989,0,45.0,0
w140,0,45.0,0
v409,0,45.0,0
l872,0,45.0,0
o795,0,45.0,0
y478,0,45.0,0
q582,0,45.0,0
s166,0,45.0,0
x773,0,45.0,0
w167,0,45.0,0
t718,0,45.0,0
o302,0,45.0,0
i477,0,45.0,0
c757,0,45.0,0
t994,0,45.0,0
p310,0,45.0,0
a699,0,45.0,0
k603,0,45.0,0
x822,0,45.0,0
l558,0,45.0,0
l733,0,45.0,0
f436,0,45.0,0
l490,0,45.0,0
b759,0,45.0,0
l471,0,45.0,0
y865,0,45.0,0
y769,0,45.0,0
l661,0,45.0,0
j296,0,45.0,0
u149,0,45.0,0
u153,0,45.0,0
w151,0,45.0,0
h531,0,45.0,0
a685,0,45.0,0
o813,0,45.0,0
m756,0,45.0,0
n671,0,45.0,0
s121,0,45.0,0
v766,0,45.0,0
w193,0,45.0,0
e476,0,45.0,0
w584,0,45.0,0
b447,0,45.0,0
k210,0,45.0,0
a275,0,45.0,0
x581,0,45.0,0
n482,0,45.0,0
t198,0,45.0,0
l215,0,45.0,0
s141,0,45.0,0
o523,0,45.0,0
i635,0,45.0,0
w746,0,45.0,0
r107,0,45.0,0
s187,0,45.0,0
g570,0,45.0,0
x209,0,45.0,0
x111,0,45.0,0
z435,0,45.0,0
n678,0,45.0,0
g558,0,45.0,0
u946,0,45.0,0
o562,0,45.0,0
v991,0,45.0,0
c927,0,45.0,0
x226,0,45.0,0
p438,0,45.0,0
b487,0,45.0,0
o287,0,45.0,0
q483,0,45.0,0
t573,0,45.0,0
f345,0,45.0,0
i334,0,45.0,0
l264,0,45.0,0
j246,0,45.0,0
r554,0,45.0,0
s185,0,45.0,0
b742,0,45.0,0
x401,0,45.0,0
l509,0,45.0,0
s710,0,45.0,0
r157,0,45.0,0
u364,0,45.0,0
j119,0,45.0,0
v923,0,45.0,0
w914,0,45.0,0
i738,0,45.0,0
r944,0,45.0,0
y793,0,45.0,0
g316,0,45.0,0
g288,0,45.0,0
l897,0,45.0,0
w150,0,45.0,0
t565,0,45.0,0
i557,0,45.0,0
m957,0,45.0,0
f966,0,45.0,0
m601,0,45.0,0
a275,5,46.7952572806,0
w575,5,48.9138597737,1
x822,5,45.6711044247,1
l509,5,45.8511928534,0
n304,5,46.4312162932,0
d164,5,46.617670614,0
l897,5,45.4622432673,0
l558,5,45.8090888162,0
g296,5,46.5932333665,0
c458,5,45.7222794933,0
a401,5,46.1119859138,0
l700,5,45.9183716507,0
f234,5,47.3134906249,0
x613,5,46.0970405801,0
u149,5,45.7920679201,0
k210,5,47.9189977056,0
x402,5,46.3275702711,1
q610,5,45.6294942066,0
x581,5,47.1969265953,0
a492,5,46.409143389,0
m133,5,46.6213012697,0
l725,5,48.7363188117,1
q633,5,47.1838021471,0
f129,5,47.0005939912,0
q483,5,46.7768162388,1
a444,5,44.0059748662,0
v835,5,47.1560107135,0
r604,5,47.0677444824,1
f394,5,47.0330996326,0
y865,5,46.7350059228,1
d251,5,41.746354951,1
b313,5,47.1544325448,0
y769,5,46.4226517593,1
z234,5,46.1293570585,1
b559,5,47.409897307,0
f993,5,46.3957596587,0
q119,5,47.8644400032,0
j989,5,45.6207183526,1
w150,5,39.2021289432,0
n923,5,45.8248809938,0
y449,5,45.8775449377,0
l661,5,46.2687990432,0
c302,5,47.6906798585,1
c264,5,45.7917038935,0
l471,5,46.2518720377,0
x930,5,46.0782337548,0
k754,5,45.7277604037,0
f436,5,46.3707975921,1
v295,5,46.111817974,1
j913,5,44.01490022,0
s710,5,43.1809773956,0
z969,5,49.3329987284,0
k894,5,47.645686744,0
l490,5,45.6125391753,1
b759,5,48.0091904896,0
a411,5,45.466677143,0
f545,5,46.5658126328,0
o725,5,46.8898209794,0
y601,5,48.4750027309,1
w914,5,45.8937203239,0
n967,5,46.0771917313,1
l733,5,46.1742262682,0
m601,5,41.4085914501,1
b487,5,46.2139773932,0
o287,5,45.5868036213,0
p310,5,46.5585323623,1
r107,5,48.5134202715,0
s565,5,48.2425521816,0
w350,5,48.232113105,0
s187,5,47.5767176093,1
j984,5,48.4107210949,1
w697,5,48.3018226056,1
j755,5,47.2428435703,0
g570,5,47.6564243575,1
u364,5,45.7608864728,1
x209,5,46.7542688725,0
c402,5,49.3426301024,1
b742,5,41.5340970177,0
n630,5,46.0990996926,0
g989,5,48.7868014635,0
e213,5,45.6992501826,1
a366,5,48.9513677307,0
w746,5,49.4532700546,0
s141,5,45.8311343446,0
i901,5,46.4930239194,0
t198,5,47.461260522,0
b879,5,49.1561562774,1
k603,5,46.0421158227,0
o523,5,45.5447000844,0
v923,5,45.7044343138,0
f966,5,38.7964737318,0
p387,5,48.6676307472,0
g867,5,46.8807491586,0
i635,5,47.2359371531,0
s619,5,46.6022687751,0
a699,5,46.5530898552,0
q132,5,46.7163985039,1
k862,5,49.2030578603,0
h333,5,45.7517272802,0
x401,5,45.4737530157,0
o926,5,46.7611637314,0
c927,5,46.3518420477,0
c559,5,46.5626379302,0
r701,5,46.886971367,0
j119,5,45.8389978688,0
p438,5,46.8279341768,0
m269,5,49.0111800953,0
a963,5,46.2335058086,0
p136,5,49.273970959,0
t724,5,46.3592582943,0
g989,5,47.5703920761,0
z314,5,45.934712167,0
a818,5,45.6967086395,0
v764,5,47.0541847448,0
j365,5,46.7112610998,0
i557,5,42.2616652999,0
x264,5,47.0384145045,0
v991,5,49.21432799,1
a788,5,47.0065802437,0
x111,5,46.9410149773,1
k510,5,46.6084671022,0
z435,5,47.1159796322,0
e584,5,45.656978496,0
m331,5,45.5230137147,1
n678,5,47.5542842873,0
p981,5,47.0006271728,0
g558,5,46.1887419277,0
e291,5,46.1425048634,0
q511,5,45.8326537772,0
u946,5,45.9918078001,1
z795,5,46.8334749348,0
t451,5,48.0471388219,0
s337,5,46.8498515661,0
o562,5,46.5149501609,1
w540,5,45.8853703831,1
w140,5,47.7179515606,0
l215,5,49.4819493532,1
y793,5,41.0199131497,0
n763,5,46.0859814231,0
a203,5,48.5084684007,0
w584,5,46.0519307545,0
y163,5,48.2849701562,0
o973,5,46.7178772684,0
o795,5,46.760927208,1
w422,5,48.4574592727,0
e662,5,45.8162825207,0
g791,5,45.8515306212,0
c580,5,46.628454797,0
e476,5,47.1118011298,0
k483,5,46.6110557083,0
y478,5,48.6410781799,1
i669,5,46.7646682399,1
d474,5,45.9183522533,0
w193,5,45.4938580222,0
q582,5,45.9553989471,1
s166,5,47.1867877757,0
o331,5,47.0596640836,1
k382,5,46.274997348,1
k804,5,48.2662036417,0
r850,5,46.8629119373,0
g316,5,44.0227524565,0
v766,5,48.1512509146,1
g497,5,48.7820687808,0
a520,5,38.7237069501,0
x773,5,45.8508307005,1
m550,5,49.0540973629,1
t994,5,47.8914870979,0
n364,5,45.5218747106,0
l264,5,46.6687664579,0
e227,5,47.2380111228,0
c326,5,49.3402031759,0
r157,5,45.5970635931,0
c766,5,47.3130553707,0
v719,5,47.1883632534,0
w678,5,43.1663726574,0
c139,5,48.7531120759,0
m546,5,42.9988763811,0
v339,5,46.2501121227,0
s152,5,47.4590529003,1
m650,5,48.5624949203,1
c282,5,45.7256897264,0
v989,5,48.8581345127,0
r944,5,45.7371448423,0
r554,5,45.781745793,1
c895,5,45.47754399,0
v409,5,46.2207964218,0
u196,5,45.5574644428,1
c832,5,48.6854612346,1
v289,5,46.204460027,0
a897,5,45.6911240483,1
f345,5,45.5911466041,0
s508,5,38.7118718494,0
a577,5,46.1977199027,1
z578,5,42.1887866197,0
i177,5,44.0653978295,0
a644,5,45.5501575368,0
c757,5,47.7832798083,0
s185,5,43.8784956861,0
i738,5,45.5956852699,0
m756,5,47.0103640056,1
o813,5,45.6993308778,0
j246,5,45.6414378763,0
a685,5,46.8704825568,0
r811,5,45.625802254,0
h246,5,49.4704170151,0
q597,5,45.7661110398,0
a251,5,46.9821271904,0
q787,5,47.1166158739,0
c758,5,45.5786783011,0
u327,5,45.6941880461,0
t565,5,45.8956472045,0
c819,5,45.7692486422,1
o302,5,48.9370118777,0
h531,5,47.7846818035,0
i477,5,46.6573847087,0
w151,5,45.5460759472,1
y260,5,46.79983867,0
r921,5,45.5682108285,0
a457,5,47.4628909977,0
j296,5,46.7992559073,1
w167,5,48.7862719435,0
a262,5,48.717568191,1
b128,5,45.6513313083,0
n671,5,47.3538893818,0
g288,5,45.8393997627,0
v603,5,46.0160059345,0
i334,5,41.0205182104,0
k403,5,38.8258980681,0
p189,5,49.0487070415,1
o809,5,46.8772431606,0
g107,5,48.7916649552,0
t718,5,45.9212527234,1
i386,5,46.8536966874,1
s121,5,45.6356617442,1
z581,5,49.273091866,1
f278,5,48.1945778805,0
j235,5,46.5888197836,0
m957,5,45.6223814897,1
e291,10,48.5297412455,1
u946,10,46.7305059208,1
g558,10,50.0947538217,0
i386,10,49.8615473917,2
e584,10,47.2506414788,0
o523,10,47.0810859034,1
i635,10,48.6857560472,1
b879,10,50.3389458287,1
u327,10,49.2352594778,0
n678,10,49.1457086645,1
r554,10,39.0054934991,2
z435,10,48.7106614712,0
s565,10,52.7775270975,0
g497,10,49.6470864981,0
s187,10,48.1463512065,1
o809,10,48.6707318029,0
z581,10,50.4787501591,2
r107,10,49.1860105163,0
k804,10,49.4712441862,0
a366,10,53.5239900685,0
j755,10,48.1670608295,0
g570,10,49.1882316674,1
d474,10,46.9749629727,0
c832,10,49.8114126213,1
x209,10,48.9298954297,0
u364,10,46.5684171913,2
k483,10,50.2960412296,1
o973,10,48.2457904318,0
y163,10,49.1123990977,1
e213,10,47.3915712023,2
a251,10,48.5911790054,1
p387,10,53.362962941,0
v923,10,39.8482232849,0
x111,10,49.1229689833,1
a577,10,49.5096388994,1
g288,10,46.3040025385,1
v603,10,47.8305568007,0
c139,10,49.9929539094,0
j296,10,48.5299776211,2
o331,10,50.1284548143,1
b759,10,49.1333549892,0
l490,10,47.2596059376,1
z969,10,52.6560814792,1
n671,10,51.0393565292,0
g107,10,53.4359866764,0
v835,10,48.9659179711,0
s710,10,43.6880262658,0
s121,10,49.0488347855,1
f436,10,48.146977582,2
r604,10,48.7865595745,1
l733,10,48.3549515398,0
l509,10,46.7590736347,0
y260,10,48.0818067794,1
v766,10,50.3631098827,1
n304,10,47.2012509684,0
a457,10,49.7834189373,0
l558,10,46.7845349065,0
o725,10,48.1994519951,0
c819,10,46.6583952671,1
i738,10,43.4210141409,0
n923,10,48.7919498615,1
p189,10,51.5821616756,2
q119,10,51.2366055724,0
l661,10,49.6836195618,0
f993,10,48.1853732268,0
m957,10,46.4145177047,1
h246,10,51.3688621605,1
w151,10,46.5014760885,1
y769,10,48.0151626056,1
y865,10,49.5227395512,1
b559,10,48.0364320179,0
s141,10,47.2356915575,0
l471,10,48.1820630619,0
x930,10,50.2606944112,0
a685,10,47.664752644,0
w193,10,48.3465504575,0
x822,10,48.9837166792,1
k382,10,50.1809676264,1
v289,10,48.1334820691,0
b487,10,47.6643870981,0
c895,10,49.7790154245,0
t724,10,50.7038996507,0
j119,10,46.4253655078,0
p438,10,50.5174978917,0
r701,10,49.6545963593,0
m650,10,50.9689976283,1
i557,10,42.9920765835,0
v719,10,51.4970541179,1
c927,10,50.9652976668,1
x264,10,47.8871276545,1
v991,10,52.6449056961,1
l264,10,50.6595809445,0
o562,10,47.1476700217,1
f345,10,47.2224461932,0
a818,10,49.7909194758,0
o287,10,47.3602008382,1
m550,10,50.5480345687,2
l700,10,47.0135665177,1
g316,10,44.5020424625,0
u149,10,47.4048343929,0
e476,10,49.4316853632,0
k210,10,49.3799323142,0
l725,10,50.8239115379,2
a275,10,47.3713432827,0
z795,10,48.0308039024,0
c580,10,47.5701738225,1
m133,10,47.5033380291,0
w422,10,49.9359702353,0
x581,10,49.0670278775,1
v295,10,47.5394621573,2
a203,10,51.852437204,1
y793,10,41.6300102575,1
q483,10,47.8391004992,1
w584,10,47.298507936,0
f966,10,35.6244026972,0
q132,10,47.9538437692,2
m269,10,50.860130061,0
w167,10,51.8264096538,0
m601,10,36.8253666359,1
a492,10,48.4321966076,0
x773,10,47.189205971,2
a401,10,47.7259374025,1
i177,10,41.0209292412,0
s166,10,49.0001246765,0
q582,10,47.013575144,1
w540,10,47.4590665763,1
j365,10,48.3493202828,0
v764,10,48.1890006167,1
g791,10,40.1705584752,0
y478,10,52.2889340897,1
l897,10,46.1547372137,0
o795,10,51.1237037021,1
g989,10,51.7451561314,0
p136,10,50.9078902812,0
t451,10,48.957919057,0
c282,10,48.1795063764,0
s337,10,47.8944414988,0
m546,10,43.748223567,0
v989,10,52.6146888902,1
a788,10,50.1597213166,1
a644,10,46.3807125833,0
v409,10,50.6490384223,1
r944,10,46.5442920172,0
a963,10,47.1505220053,0
t994,10,52.6141634992,1
c559,10,47.2932601213,0
a520,10,36.4293878059,0
a444,10,44.5125595148,0
u196,10,46.4229430611,1
e227,10,51.3497570463,1
f129,10,48.1797190801,1
t718,10,46.3926880486,1
n967,10,47.4717232698,1
d251,10,42.4322579132,1
b313,10,48.3193721835,1
f545,10,51.0725122479,0
a411,10,40.7597876228,1
w914,10,43.2319627458,0
c302,10,48.5335670388,1
j989,10,46.3438323743,1
k894,10,49.2728701133,1
y449,10,46.3780924822,0
w150,10,39.9523466857,0
j913,10,44.497162164,0
a897,10,47.9729270768,1
k754,10,49.746116661,0
k403,10,35.014271464,1
c757,10,49.2193166852,0
g296,10,48.2695086075,0
r921,10,42.7119269415,0
q633,10,49.0018655887,0
t565,10,46.7490055228,0
r811,10,39.453902997,0
f234,10,47.9043237514,0
x613,10,46.8181759016,0
x402,10,46.8869624881,1
o302,10,49.7014498925,0
w575,10,50.1359554709,1
c458,10,44.4543782848,1
i477,10,47.5206320557,0
c758,10,46.2879922276,0
d164,10,47.4746446813,1
q610,10,44.9914847141,0
s185,10,37.6149476787,0
q511,10,50.3116468696,0
c264,10,49.0265919617,0
k862,10,50.5235500683,1
n763,10,46.8173152626,1
h333,10,46.2338441389,1
c402,10,50.5668941174,1
q787,10,48.5938623364,1
b128,10,43.2708519028,0
g867,10,48.1834016703,0
g989,10,49.8805278017,0
b742,10,41.9992281339,0
e662,10,46.4090838477,0
i669,10,48.2816334005,1
a699,10,47.8673756864,0
q597,10,42.5379859779,0
j984,10,50.141084014,1
a262,10,49.5951812923,1
w350,10,48.8995523797,0
n364,10,40.3751381982,0
z578,10,42.9521184289,0
w697,10,48.9250560049,2
p310,10,48.6656066817,1
k603,10,46.6069467587,0
k510,10,47.6582497955,1
r850,10,48.5150908538,1
j235,10,48.0187879244,1
i901,10,50.4212498188,0
s152,10,52.1816442035,2
o926,10,47.5656736359,1
m331,10,47.6468773488,1
x401,10,39.1138906788,0
l215,10,53.6539695982,1
j246,10,46.4083612964,0
s508,10,34.8509979047,0
p981,10,47.5458458532,0
i334,10,41.6312473059,0
r157,10,46.059608267,0
t198,10,49.0008097751,1
c766,10,49.5002709847,1
q597,15,41.3956603602,0
l661,15,50.9475448381,1
y769,15,52.7610211384,2
s185,15,38.1772319541,0
d251,15,39.4727874418,1
y865,15,50.8065185581,1
a685,15,48.951474422,0
a262,15,53.8279736748,2
b128,15,43.7848934296,0
r811,15,40.0222923465,0
z581,15,51.1963042014,2
c819,15,48.3709991154,1
r850,15,50.218604692,1
b559,15,51.3788622899,0
c264,15,53.6649416525,1
o302,15,51.381488855,0
g288,15,42.1723007862,1
h246,15,56.1843270149,1
a251,15,50.5344560313,1
c757,15,51.5326030045,0
j989,15,41.1283543948,1
i334,15,39.1580011524,0
f993,15,49.1069747343,1
y449,15,44.1834509224,0
i738,15,37.978777818,0
i386,15,51.7365608832,2
u327,15,50.6599643742,0
q787,15,49.2177324345,2
n923,15,51.7387062263,1
c758,15,46.9409451215,1
c302,15,52.7166345889,2
q132,15,49.1597486205,3
n671,15,54.2160641052,0
a897,15,52.3430852455,2
k403,15,34.2239917444,1
b313,15,49.1883873469,1
p189,15,53.6755415046,2
m957,15,39.8044534147,1
w151,15,47.2429286461,1
v603,15,52.1029474359,0
j296,15,50.7012795885,2
o331,15,54.7897676868,1
a644,15,46.9108916644,0
o809,15,49.68344504,1
n763,15,47.7980996091,1
w422,15,52.2463098495,0
o795,15,55.8863379287,2
a203,15,52.7778704977,1
a520,15,35.5902540041,0
y163,15,51.5230684317,1
r944,15,47.3734232511,0
m550,15,51.1660654415,3
f345,15,48.3522385405,0
s152,15,57.2249806369,2
t994,15,53.4586388685,1
c895,15,52.9494647415,1
y793,15,42.283665123,1
u196,15,47.2271706546,1
c832,15,52.8645344875,1
s508,15,35.2769063405,0
m546,15,39.8974353259,0
a577,15,50.9150066245,2
m650,15,53.1495593311,1
v719,15,52.6091075758,1
c766,15,50.5966332487,2
c282,15,49.2660787336,0
j235,15,51.1611381503,1
e227,15,52.8339419644,1
c139,15,51.8332246013,0
n364,15,36.9402739897,0
v289,15,52.6021656439,0
r921,15,43.5272605378,0
y478,15,53.610405845,1
c580,15,51.9917080018,1
t565,15,44.4409486086,0
g497,15,53.6461680435,1
t718,15,48.0851255155,1
g107,15,58.1355448458,0
s121,15,50.8245603077,2
z578,15,38.6885160717,0
j246,15,43.3126541493,0
k804,15,50.4776182368,0
w167,15,53.9004890913,0
d474,15,47.7779358439,0
y260,15,50.1961522424,2
v766,15,51.5424305838,1
w584,15,51.26543971,0
x773,15,47.6712355761,3
i669,15,48.857600704,1
i177,15,40.3309347927,0
r157,15,46.539206172,0
k382,15,54.4291682136,1
k483,15,53.2444581257,1
q582,15,48.3226401822,2
e476,15,54.0462126734,0
g791,15,40.6781285242,0
g316,15,45.2167429944,0
r554,15,35.4637576272,2
o973,15,49.8719358185,0
e662,15,43.5537733856,0
w193,15,49.385573729,0
s141,15,49.2323453829,1
n967,15,49.8250036162,1
p438,15,52.1983681772,0
g989,15,51.3258520692,1
b487,15,51.6832558567,0
g570,15,52.6826953952,1
j119,15,47.3229842798,0
j755,15,51.4539739071,0
v764,15,49.4126241794,2
a818,15,51.2275656497,0
o287,15,48.6794526075,1
w540,15,48.2501463553,2
w350,15,50.8546323041,1
q483,15,48.4684825962,1
j365,15,49.5882633582,0
j984,15,51.1667568731,1
v295,15,50.6660539088,2
s187,15,52.0816322469,1
a401,15,49.9347254166,1
x581,15,49.7464274443,2
a492,15,51.9852629008,0
e291,15,49.3484262002,1
a275,15,49.7344035867,0
f129,15,49.9883024635,1
s565,15,54.328316635,1
x402,15,49.1199478021,1
l725,15,54.2445626831,2
b742,15,39.5248430117,0
t724,15,55.5846172365,0
k210,15,51.073557516,0
p136,15,51.9914161632,1
m269,15,55.9053435986,0
q511,15,52.1330813859,0
u946,15,47.6730292145,1
x401,15,39.7762500318,0
g558,15,51.007258002,0
t451,15,49.6527877227,0
z795,15,49.3681318879,1
o562,15,51.5050855053,1
s337,15,48.5715158185,0
v991,15,54.5885909999,1
a788,15,52.5399492638,1
a963,15,47.8368521776,0
x264,15,50.0023140274,1
e584,15,48.4304105275,1
c927,15,53.266430869,1
p981,15,49.6577097279,0
o926,15,48.2542483928,1
i557,15,43.5298757037,0
c559,15,51.4149035802,1
u364,15,47.212199924,2
r701,15,52.4848044296,0
l897,15,44.0615213987,0
k510,15,49.6870516988,1
e213,15,51.7916952961,2
h333,15,50.6926035803,2
c402,15,52.2307194355,1
g989,15,53.442019761,0
m601,15,35.464611749,1
m133,15,48.6652074029,1
m331,15,52.1100875766,1
w914,15,43.6884489266,0
s710,15,41.8452353628,0
a699,15,49.5304013734,0
g296,15,49.6532440363,1
a411,15,41.4841688531,1
b879,15,51.6183865728,1
p387,15,55.2513803256,0
r604,15,51.0745207273,1
l509,15,47.4885993127,1
f436,15,48.7220778494,2
u149,15,48.5223734258,0
b759,15,51.5877990597,0
g867,15,51.0604192395,1
k603,15,48.7752854973,0
i635,15,49.5368977457,1
k862,15,54.4745336208,1
k754,15,51.3235699401,0
j913,15,45.2525342738,0
v835,15,50.5452064621,1
l490,15,50.5248126764,1
k894,15,49.9877656973,1
l733,15,49.2851950356,0
f966,15,32.6230025264,0
f545,15,53.9455442904,1
o725,15,50.0150790177,1
p310,15,49.7707414379,1
r107,15,53.0903354556,0
q633,15,50.5835572966,1
x930,15,51.9737686396,0
f234,15,48.7351971444,1
l700,15,49.040225294,1
a444,15,43.001279573,0
a366,15,55.2655816269,0
x822,15,49.6946653339,1
x613,15,48.0776464047,0
l471,15,49.4068790086,0
z969,15,54.7130045239,2
c458,15,45.107423133,2
q610,15,45.8890275598,0
w697,15,52.6572651868,2
v923,15,40.4579887681,0
w575,15,50.8674517572,1
t198,15,49.7811807982,2
n304,15,48.477978952,0
i901,15,51.4196423913,0
u364,20,40.3439481218,2
o926,20,51.826638253,2
q132,20,51.9090249428,4
a577,20,52.3651845662,2
i386,20,55.0877244473,2
t198,20,51.4907399809,3
g558,20,55.0900969102,1
c766,20,53.0068646304,3
u946,20,49.1100496594,1
p310,20,54.2051805405,1
s152,20,62.3516094456,2
z581,20,51.807944156,2
f966,20,30.4859848438,0
o809,20,50.3365528785,1
s187,20,53.7447340563,1
b128,20,42.7315519999,0
i669,20,50.8736902697,1
b742,20,37.950355464,0
k804,20,54.4845194451,0
a699,20,50.7124233362,0
i635,20,51.8770618925,1
r107,20,55.2638583958,0
r554,20,36.0155885796,2
w350,20,52.1323206066,1
k603,20,50.180109351,0
a251,20,54.4625937637,1
k483,20,54.7789605219,1
a262,20,57.01331331,2
n763,20,49.2581258142,1
q787,20,50.2299341861,2
y163,20,54.5710760706,1
g570,20,54.6432954055,1
g989,20,55.3261220232,1
s141,20,51.6216457028,1
q511,20,52.6727120546,0
s121,20,52.0050658999,2
t718,20,52.6367000006,2
k210,20,51.9976185453,0
u149,20,50.3780578929,0
n671,20,54.8225209061,0
o302,20,56.1776114258,0
q633,20,53.287286808,1
x822,20,51.9149096805,2
a685,20,49.490559017,0
m957,20,38.9093491935,1
w575,20,55.591815495,1
l733,20,53.244311567,1
c757,20,52.8186340079,1
w151,20,49.5542629542,2
g296,20,51.4471183001,2
s185,20,36.8668757626,0
a897,20,54.5957054124,3
c264,20,54.5681957023,1
f545,20,58.8411888803,1
y769,20,55.0257243359,2
l471,20,52.2283269846,0
l661,20,52.6174900272,1
b313,20,53.9796796952,1
a401,20,52.2045113573,2
b759,20,54.4430350206,0
k754,20,52.6934227606,1
c302,20,54.0809083649,3
j296,20,54.005342089,3
l490,20,51.9054469916,1
l509,20,48.0704516203,2
w914,20,41.108092328,0
k894,20,50.9816393632,1
e227,20,56.6075521031,1
a275,20,50.513436517,1
x581,20,51.2079694323,3
o562,20,53.6168634714,1
c139,20,56.7420068107,0
c282,20,51.9505742324,0
v719,20,54.0486076896,1
v991,20,57.7406945896,2
s337,20,49.2020540787,1
c927,20,55.4816892239,1
t994,20,56.5279515948,1
a788,20,54.0609833167,1
c895,20,53.6768396045,2
l897,20,44.8130934306,0
f345,20,49.6133830266,0
c559,20,52.6043669453,2
